                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2543,                0.83471,                 1.1772,                0.85357,                0.58255,                0.67273,                 0.4356,                 1.1287,                0.80294,                 1.2519,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2711,                0.82764,                 1.1793,                0.90762,                0.57306,                 0.6646,                0.44702,                 1.1282,                0.75331,                 1.2473,               0.000948,               0.000948,               0.000948
                     37,                 1.2668,                0.83208,                 1.1854,                 0.8731,                0.58013,                0.65359,                0.42629,                 1.1779,                0.77474,                 1.2756,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2275,                0.80727,                 1.1694,                0.84423,                0.58257,                0.67654,                0.43347,                 1.1645,                0.78697,                 1.2733,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2421,                0.79714,                 1.1633,                0.83647,                0.64743,                0.70181,                0.45168,                  1.132,                0.74971,                 1.2532,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.2461,                0.79531,                 1.1588,                 0.9241,                 0.5822,                0.68909,                0.44893,                 1.1058,                0.75645,                 1.2281,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2205,                0.77847,                   1.15,                0.96679,                0.54371,                0.66915,                0.44269,                 1.1438,                0.76907,                 1.2457,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2398,                0.78513,                 1.1765,                0.78124,                0.60785,                0.67985,                0.45251,                 1.1559,                0.75155,                   1.25,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2294,                0.77384,                  1.154,                0.86949,                0.60808,                0.72908,                0.47616,                 1.1121,                0.72291,                 1.2353,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2382,                0.78954,                 1.1575,                0.83079,                 0.5672,                0.67637,                0.45312,                 1.0995,                0.72707,                 1.2204,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.1946,                0.73973,                 1.1449,                0.91813,                0.58895,                0.68945,                0.46464,                 1.1608,                0.74914,                 1.2703,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2053,                0.76167,                 1.1466,                0.88372,                0.56486,                0.68877,                0.46197,                  1.126,                0.72982,                 1.2323,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2268,                0.75266,                 1.1438,                0.85954,                0.58197,                0.66931,                0.45508,                 1.1174,                0.71248,                 1.2282,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2169,                0.77071,                  1.152,                0.74804,                0.61159,                0.67852,                0.44576,                 1.1339,                0.74841,                 1.2369,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1602,                0.71437,                 1.1227,                0.71041,                0.60026,                0.64894,                0.43642,                 1.0994,                0.72431,                  1.215,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.1814,                0.71681,                 1.1391,                0.77795,                0.71978,                0.74267,                0.47374,                   1.16,                0.69645,                 1.2709,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.1941,                0.73595,                 1.1318,                 0.7654,                0.57586,                 0.6501,                0.44162,                 1.0914,                0.70843,                  1.211,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1924,                0.73206,                 1.1359,                0.91942,                0.61672,                0.73458,                0.49769,                 1.1314,                0.71542,                 1.2387,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.1978,                0.73443,                 1.1411,                0.85503,                0.62596,                0.73731,                0.48859,                 1.1054,                0.69382,                 1.2192,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1813,                0.71825,                 1.1215,                0.84245,                0.66292,                0.70539,                0.47649,                 1.0807,                0.67438,                  1.206,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1712,                0.71201,                 1.1288,                0.76818,                0.66016,                0.71138,                 0.4589,                 1.1184,                0.69561,                 1.2256,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.1677,                0.71555,                 1.1182,                0.72399,                0.62249,                0.68532,                0.46329,                 1.1223,                0.71271,                 1.2315,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.1775,                0.70936,                  1.118,                0.74847,                0.64137,                0.71725,                0.48762,                 1.1112,                0.68111,                 1.2096,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1778,                0.70433,                 1.1169,                0.85131,                0.57533,                0.71339,                0.47876,                 1.0659,                0.67162,                 1.1915,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1683,                0.69877,                 1.1152,                0.75682,                0.67667,                0.73411,                0.48498,                 1.1296,                0.66818,                 1.2432,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1342,                0.68754,                 1.1098,                0.78157,                0.66831,                0.70806,                0.48521,                 1.0893,                0.66714,                 1.2147,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1469,                0.68996,                 1.1135,                0.76452,                0.62498,                0.67431,                0.45074,                 1.1001,                0.68592,                 1.2151,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.1288,                0.68441,                 1.1164,                0.84636,                0.63607,                0.70919,                0.48247,                 1.0907,                 0.6622,                 1.2167,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.1407,                0.67185,                 1.1045,                0.95248,                 0.5893,                0.72503,                0.49418,                 1.0641,                0.65285,                 1.1918,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.1662,                0.68453,                 1.0982,                0.92574,                0.62548,                0.71001,                0.49016,                 1.0746,                0.65642,                 1.1964,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.1354,                0.69763,                 1.1212,                0.89076,                0.64642,                0.73273,                 0.4924,                 1.1054,                0.64132,                 1.2236,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1296,                  0.673,                 1.1016,                0.90819,                0.62044,                 0.7313,                0.49534,                 1.0768,                0.64453,                 1.1991,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1279,                0.65853,                 1.0948,                0.84341,                0.62196,                0.69306,                0.46716,                 1.0796,                0.65946,                 1.2051,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.1192,                0.65542,                 1.0967,                0.84839,                0.61308,                0.70198,                0.46036,                 1.1426,                0.67112,                 1.2386,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.1357,                0.66983,                  1.101,                0.90805,                0.60187,                0.69872,                0.46832,                 1.0781,                 0.6327,                  1.202,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.1193,                0.64961,                 1.0824,                0.91851,                0.63756,                0.71007,                0.47889,                 1.0887,                0.64416,                 1.2053,               0.000467,               0.000467,               0.000467
                     71,                 1.1249,                0.65382,                 1.0949,                0.85451,                0.59316,                0.67833,                0.45321,                 1.1138,                0.64574,                 1.2205,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.1138,                0.64731,                 1.0845,                0.83992,                0.64274,                 0.7294,                0.48834,                 1.0677,                0.62171,                 1.1878,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.1016,                0.64432,                 1.0901,                0.88419,                0.64954,                0.74225,                0.50111,                 1.0981,                0.62389,                 1.2147,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.1126,                0.64686,                 1.0942,                0.78014,                0.67803,                0.71982,                0.48277,                 1.0999,                0.63976,                 1.2128,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.1136,                0.64142,                 1.0811,                0.93227,                0.60408,                0.69849,                0.47213,                 1.0821,                0.63275,                 1.2008,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.0978,                0.62824,                  1.087,                0.77793,                0.63938,                 0.7136,                0.47731,                 1.0583,                0.64597,                 1.1956,             0.00038211,             0.00038211,             0.00038211
                     77,                  1.102,                0.64389,                 1.0812,                0.93561,                0.59181,                0.67655,                0.45612,                 1.0673,                0.65285,                 1.1937,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.0822,                0.62796,                 1.0977,                0.88523,                0.61978,                0.68739,                0.44953,                 1.0914,                 0.6376,                 1.2138,             0.00035382,             0.00035382,             0.00035382
                     79,                    1.1,                0.63587,                 1.0766,                0.92596,                0.58965,                0.72295,                0.49921,                 1.0544,                0.60159,                 1.1856,             0.00033967,             0.00033967,             0.00033967
